Symbol,Security,GICS_Sector,GICS_Sub_Industry,Headquarters_Location
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia"
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington"
AXP,American Express Co,Financials,Consumer Finance,"New York, New York"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois"
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio"
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island"
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota"
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota"
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas"
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York"
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California"
MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan"
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois"
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota"
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York"
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island"
UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska"
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California"
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
