Date,AAPL,AFL,AMZN,AXP,CAT,CINF,CTAS,CVS,ECL,FAST,GL,HD,IBM,LH,LRCX,MAS,MCD,MMM,NTRS,PEP,PPG,TXT,UNP,VAR,WMT
03/01/2000,3.470226,5.379488,89.375,34.386623,11.954136,13.764668,27.019138,13.948238,14.162155,1.864844,8.742205,43.838951,75.62159,9.0625,34.180763,13.041507,23.817707,26.346825,34.399174,22.473984,11.431423,24.234592,4.378635,6.302719,46.400093
04/01/2000,3.17765,5.236737,81.9375,33.08823,11.800486,13.750579,25.920277,13.832964,13.786381,1.757732,8.568523,41.52721,73.054688,8.75,32.697948,12.717899,23.329338,25.299936,32.162697,21.902601,11.038467,23.830359,4.372283,6.261614,44.663891
05/01/2000,3.224152,5.206684,69.75,32.364822,12.077062,13.891465,26.211151,14.593783,14.326563,1.831887,8.631511,42.367844,75.62159,8.75,32.222687,12.203245,23.705008,26.032759,32.886887,21.369314,11.455236,23.264408,4.372283,6.477414,43.752392
06/01/2000,2.945139,5.311871,65.5625,33.0242,12.691669,13.976,26.356592,13.556309,14.96069,1.831887,8.612072,40.350327,74.317757,8.59375,31.99456,12.333419,23.366909,28.126556,33.568478,22.321609,12.002997,22.961222,4.639195,6.494541,44.229843
07/01/2000,3.084645,5.417055,69.5625,33.505013,13.106524,14.257775,27.681692,13.879079,14.96069,1.82914,8.787035,42.70409,73.991837,8.90625,32.469818,12.789003,23.967987,28.6849,33.994476,22.931068,12.217337,23.527159,4.607419,6.535645,47.572033
10/01/2000,3.030393,5.093987,69.1875,33.972057,12.676294,13.863285,28.311924,13.856018,15.266018,1.78245,8.67039,42.493935,76.925415,8.75,34.14275,12.431041,24.080692,28.545319,33.142494,22.473984,11.836291,23.810133,4.715456,6.604153,46.703941
11/01/2000,2.875386,4.988799,66.75,34.288025,12.476552,13.750579,26.663631,13.902126,15.101601,1.796182,8.650951,41.401108,77.577324,8.4375,33.724503,12.170705,24.644194,28.056755,32.546108,22.397804,11.788654,23.628231,4.753586,6.467137,46.009457
12/01/2000,2.70294,4.906155,63.5625,34.109451,12.691669,13.863285,25.920277,13.879079,14.819777,1.761852,8.612072,41.064869,77.903282,8.4375,34.67503,11.975456,25.696091,28.126556,34.037083,22.131149,11.967277,23.183556,4.658258,6.57675,45.184742
13/01/2000,2.999391,5.018852,65.9375,34.288025,12.829952,14.032358,28.085684,13.602417,14.702339,2.032377,8.689833,41.779404,77.088409,8.90625,34.598995,11.942913,25.433115,28.126556,37.359863,21.902601,12.264966,22.273998,4.740876,6.700064,45.228157
14/01/2000,3.113708,5.161606,64.25,35.057301,12.768493,13.694222,28.214962,13.233541,14.819777,1.974702,8.51487,41.65332,77.984772,8.90625,39.465664,12.040534,25.611557,27.725233,37.402447,22.054968,12.002997,22.273998,4.68368,7.0152,44.794106
18/01/2000,3.222214,4.808483,64.125,33.312664,12.432402,13.299738,28.602798,13.279644,14.443992,1.95273,8.009418,40.686569,75.458626,8.75,39.446651,12.105622,24.944742,27.114553,37.871056,22.093061,11.717216,21.708059,4.512094,7.179619,45.531986
19/01/2000,3.303592,4.522979,66.8125,32.735718,12.276803,13.468809,26.889866,13.21048,14.256106,2.103786,7.581728,41.611267,77.903282,8.75,41.480778,12.203245,25.470682,27.585648,38.978642,22.207335,11.490965,20.454893,4.435833,7.179619,44.490284
20/01/2000,3.518665,4.891128,64.75,33.278339,11.732202,13.046143,26.502026,12.47828,14.209133,2.144982,7.348444,40.896736,77.577324,8.59375,43.514885,11.780197,25.583384,26.556206,36.763454,22.016882,11.026567,18.716625,4.270603,7.316634,44.012806
21/01/2000,3.450849,4.658217,62.0625,33.340153,11.79444,13.553341,25.467804,12.767399,13.927295,2.151848,7.251244,40.350327,79.207123,8.59375,42.260201,11.747661,24.681763,26.503878,37.530251,22.016882,11.169454,19.52512,4.448544,7.398844,43.361748
